"A3600_PRODUCTLINE","A3600_DEVICEID","A3600_SERIALNUMBER","A3600_IOM_SERIAL","A3600_NODETYPE","ERRORCODE","MAX_COMPL_DATE","MIN_COMPL_DATE"
"851","210534","ACP161CCM01","ACP161","CM","0665","2019-07-06 09:47:49.000","2019-07-01 00:00:00.000"
"840","132622","ACP036","ACP036","IOM","04E2","2019-07-05 14:26:35.000","2019-07-05 00:00:00.000"
"840","165046","ACP076","ACP076","IOM","04E2","2019-07-06 11:07:48.000","2019-07-06 00:00:00.000"
"840","210345","ACP316","ACP316","IOM","04E2","2019-07-06 01:13:05.511","2019-07-06 00:00:00.000"
"","195858","","ACP182","ISR","501E","2019-07-04 14:08:27.000","2019-07-04 00:00:00.000"
"","145833","","ACP034","ISR","501E","2019-07-05 11:27:37.701","2019-07-03 00:00:00.000"
"857","129435","ACP007i2s04","ACP007","ISR","501E","2019-07-06 08:29:55.000","2019-07-04 00:00:00.000"
"857","138160","ACP011i2s02","ACP011","ISR","501E","2019-07-02 07:58:45.000","2019-07-02 00:00:00.000"
"857","134283","ACP015I2S01","ACP015","ISR","501E","2019-07-05 14:46:24.000","2019-07-05 00:00:00.000"
"857","134283","ACP015I2S02","ACP015","ISR","501E","2019-07-05 16:14:36.000","2019-07-04 00:00:00.000"
"857","151859","ACP020i2s03","ACP020","ISR","501E","2019-07-05 16:31:02.000","2019-07-05 00:00:00.000"
"857","137900","ACP025i2S03","ACP025","ISR","501E","2019-07-05 07:38:40.000","2019-07-03 00:00:00.000"
"857","132622","ACP036I2S01","ACP036","ISR","501E","2019-07-01 09:33:02.000","2019-07-01 00:00:00.000"
"857","138220","ACP039i2s03","ACP039","ISR","501E","2019-07-01 13:14:47.000","2019-07-01 00:00:00.000"
"857","138220","ACP039i2s04","ACP039","ISR","501E","2019-07-06 08:04:26.000","2019-07-05 00:00:00.000"
"857","141336","ACP045i2S02","ACP045","ISR","501E","2019-07-06 21:56:23.000","2019-07-02 00:00:00.000"
"857","155735","ACP059I2S03","ACP059","ISR","501E","2019-07-01 08:35:43.000","2019-07-01 00:00:00.000"
"857","160415","ACP062I2S06","ACP062","ISR","501E","2019-07-05 01:03:03.186","2019-07-05 00:00:00.000"
"857","196355","ACP066ISR01","ACP066","ISR","501E","2019-07-05 10:07:58.218","2019-07-02 00:00:00.000"
"857","173262","ACP077I2S04","ACP077","ISR","501E","2019-07-05 22:13:43.000","2019-07-05 00:00:00.000"
"857","173262","ACP077I2S05","ACP077","ISR","501E","2019-07-05 23:55:48.000","2019-07-05 00:00:00.000"
"857","180236","ACP083I2S02","ACP083","ISR","501E","2019-07-04 22:38:43.000","2019-07-04 00:00:00.000"
"857","180236","ACP083I2S07","ACP083","ISR","501E","2019-07-04 21:54:35.000","2019-07-04 00:00:00.000"
"857","180236","ACP083I2S11","ACP083","ISR","501E","2019-07-04 07:01:31.000","2019-07-03 00:00:00.000"
"857","180657","ACP088i2S01","ACP088","ISR","501E","2019-07-04 11:52:06.828","2019-07-04 00:00:00.000"
"857","193386","ACP105i2S03","ACP105","ISR","501E","2019-07-01 08:54:21.000","2019-07-01 00:00:00.000"
"857","171616","ACP107i2S03","ACP107","ISR","501E","2019-07-02 13:33:08.000","2019-07-02 00:00:00.000"
"857","195623","ACP142I2S03","ACP142","ISR","501E","2019-07-02 06:49:12.073","2019-07-02 00:00:00.000"
"857","195856","ACP145i2S05","ACP145","ISR","501E","2019-07-03 21:33:16.000","2019-07-03 00:00:00.000"
"857","187640","ACP155i2S03","ACP155","ISR","501E","2019-07-06 08:34:30.000","2019-07-01 00:00:00.000"
"857","208909","ACP159i2S01","ACP159","ISR","501E","2019-07-06 13:27:02.000","2019-07-04 00:00:00.000"
"857","185343","ACP164I2S02","ACP164","ISR","501E","2019-07-04 15:19:29.000","2019-07-01 00:00:00.000"
"857","190560","ACP166i2S03","ACP166","ISR","501E","2019-07-02 08:39:59.000","2019-07-01 00:00:00.000"
"857","189339","ACP169i2S01","ACP169","ISR","501E","2019-07-02 11:32:24.000","2019-07-02 00:00:00.000"
"857","189339","ACP169i2S02","ACP169","ISR","501E","2019-07-02 11:21:37.000","2019-07-02 00:00:00.000"
"857","195268","ACP170i2S05","ACP170","ISR","501E","2019-07-02 10:31:31.000","2019-07-01 00:00:00.000"
"857","209589","ACP175i2S02","ACP175","ISR","501E","2019-07-04 13:37:08.000","2019-07-01 00:00:00.000"
"857","206433","ACP212i2S02","ACP212","ISR","501E","2019-07-05 11:34:39.000","2019-07-05 00:00:00.000"
"857","207134","ACP267i2S03","ACP267","ISR","501E","2019-07-06 21:16:45.160","2019-07-04 00:00:00.000"
"857","211499","ACP321I2S02","ACP321","ISR","501E","2019-07-03 07:34:20.430","2019-07-03 00:00:00.000"
"","145833","","ACP034","ISR","5020","2019-07-02 02:52:01.218","2019-07-02 00:00:00.000"
"857","195268","ACP170i2S05","ACP170","ISR","5020","2019-07-02 10:10:09.000","2019-07-02 00:00:00.000"
"857","209589","ACP175i2S02","ACP175","ISR","5020","2019-07-04 12:49:20.000","2019-07-04 00:00:00.000"
"857","186880","ACP176i2S01","ACP176","ISR","5020","2019-07-01 10:57:20.000","2019-07-01 00:00:00.000"
"","195858","","ACP182","ISR","501F","2019-07-06 06:10:09.000","2019-07-01 00:00:00.000"
"","145833","","ACP034","ISR","501F","2019-07-03 19:33:20.859","2019-07-02 00:00:00.000"
"857","129435","ACP007i2s04","ACP007","ISR","501F","2019-07-04 08:24:07.000","2019-07-04 00:00:00.000"
"857","175038","ACP023i2S04","ACP023","ISR","501F","2019-07-06 08:28:12.000","2019-07-06 00:00:00.000"
"857","131993","ACP027I2S01","ACP027","ISR","501F","2019-07-06 08:49:54.000","2019-07-03 00:00:00.000"
"857","138220","ACP039i2s03","ACP039","ISR","501F","2019-07-01 13:06:46.000","2019-07-01 00:00:00.000"
"857","141336","ACP045i2S02","ACP045","ISR","501F","2019-07-05 18:56:55.000","2019-07-02 00:00:00.000"
"857","149534","ACP046i2s02","ACP046","ISR","501F","2019-07-02 08:02:33.000","2019-07-02 00:00:00.000"
"857","146274","ACP049i2s03","ACP049","ISR","501F","2019-07-01 08:10:01.000","2019-07-01 00:00:00.000"
"857","147132","ACP052I2S01","ACP052","ISR","501F","2019-07-06 13:04:56.359","2019-07-06 00:00:00.000"
"857","155735","ACP059I2S02","ACP059","ISR","501F","2019-07-06 09:56:06.000","2019-07-06 00:00:00.000"
"857","165046","ACP076ISR02","ACP076","ISR","501F","2019-07-05 21:00:03.000","2019-07-05 00:00:00.000"
"857","166452","ACP080i2s01","ACP080","ISR","501F","2019-07-02 07:43:05.000","2019-07-02 00:00:00.000"
"857","180236","ACP083I2S09","ACP083","ISR","501F","2019-07-05 09:56:52.000","2019-07-05 00:00:00.000"
"857","193386","ACP105i2S03","ACP105","ISR","501F","2019-07-01 08:26:48.000","2019-07-01 00:00:00.000"
"857","184596","ACP138I2S03","ACP138","ISR","501F","2019-07-06 01:45:20.000","2019-07-06 00:00:00.000"
"857","195623","ACP142I2S03","ACP142","ISR","501F","2019-07-01 09:14:10.508","2019-07-01 00:00:00.000"
"857","185343","ACP164I2S02","ACP164","ISR","501F","2019-07-06 11:01:16.000","2019-07-01 00:00:00.000"
"857","209589","ACP175i2S02","ACP175","ISR","501F","2019-07-01 10:04:47.000","2019-07-01 00:00:00.000"
