sn,sn_count
I1SR03166,0
I1SR03267,0
I1SR03442,0
I1SR60147,0
ISR01730,0
ISR01831,0
ISR02112,0
ISR02314,0
ISR02854,0
ISR03507,0
ISR04173,0
ISR04441,0
ISR04703,0
ISR05216,0
ISR05294,0
ISR05679,0
ISR06065,0
ISR06615,0
ISR07085,0
ISR07425,0
ISR07604,0
ISR50321,0
ISR50339,0
ISR50779,0
ISR51038,0
ISR51425,0
ISR51792,0
ISR52133,0
ISR52233,0
ISR52904,0
ISR54793,0
ISR55193,0
ISR55199,0
ISR55585,0
ISR55952,0
ISR56080,0
ISR60172,0
ISR60283,0
ISR60330,0
ISR63597,0
ISR61913,1
ISR62542,1
ISR03500,2
ISR54788,3
ISR02287,4
I201981,5
I1SR50784,6
ISR02803,8
I201838,10
ISR05250,11
ISR05868,11
ISR02137,12
ISR07791,12
ISR51769,14
ISR55366,15
I202245,16
ISR61047,17
ISR05590,19
ISR60758,24
ISR50934,26
ISR01402,30
ISR06834,34
ISR06051,45
ISR07052,76
ISR50362,88
ISR55012,110
ISR55323,147
ISR05869,181
ISR55928,373
ISR52606,374
