Algorithm Name,Script Format,Comments
alinity_hc_waste,flat script format,
alinity_waterbath,flat script format,
architect_cc_cuvette_combined,flat script format,
architect_dark_counts_gt_avg250,flat script format,
architect_dark_counts_gt_sd100,flat script format,
architect_dm_fail_cc,flat script format,
architect_dm_fail_ia,flat script format,
architect_fe_pressure,flat script format,
architect_wam_a,flat script format,
architect_wam_b,flat script format,
architect_wam_c,flat script format,
cc_cuvette_integrity,flat script format,
cc_cuvette_wash,flat script format,
ia_dark_counts,flat script format,
ia_fe_pressure,flat script format,
ia_itv,flat script format,
ia_pipettor_sample_syringe_backlash,flat script format,
ia_process_jams_5756,flat script format,
ia_process_jams_5758,flat script format,
ia_rsm_pick_and_load,flat script format,
ia_trigger_pretrigger_dispense,flat script format,
ia_vacuum_leak,flat script format,
ia_vacuum_pump,flat script format,
ia_vacuum_sensor,flat script format,
ia_washzone_aspiration,flat script format,
phm_a3600,adhoc script format,
phm_aps,adhoc script format,
