table,maxdate,mindate
dx.dx_210_assayactivity,2018-02-14,2017-05-31
dx.dx_210_assayactivitycc,2019-02-13,2017-05-24
dx.dx_210_calcurve,2019-02-13,2017-05-24
dx.dx_210_calibrationresultcompletion,2019-02-13,2017-05-24
dx.dx_210_ccaspirationpm,2019-02-13,2017-05-24
dx.dx_210_ccbulksolutionconsumeddata,2019-02-13,2017-05-24
dx.dx_210_ccbulksolutionmonitordata,2019-02-13,2017-05-25
dx.dx_210_ccbulksolutionusagestatusdata,2019-02-13,2018-08-13
dx.dx_210_cccuvettewashwatervolumedata,2019-02-13,2017-05-24
dx.dx_210_ccdispensepm,2019-03-10,2017-05-24
dx.dx_210_cclampmonitordata,2019-02-13,2017-05-24
dx.dx_210_ccopticsadjusttriggersensordata,2019-02-13,2017-05-24
dx.dx_210_ccphotodata,2019-02-13,2017-05-24
dx.dx_210_ccpipettorpmrawdata,2018-11-08,2017-05-24
dx.dx_210_ccreagentaspirationotherdata,2018-11-08,2017-05-24
dx.dx_210_ccreagentaspirationpcidata,2018-11-08,2017-05-24
dx.dx_210_ccreagentcarouselcoolertemperaturedata,2019-02-13,2017-05-24
dx.dx_210_ccreagentcarouselteknicmotordata,2019-02-13,2017-05-24
dx.dx_210_ccreagentdispenseotherdata,2018-11-08,2017-05-24
dx.dx_210_ccreagentdispensepcidata,2018-11-08,2017-05-24
dx.dx_210_ccreagentwashotherdata,2018-11-08,2017-05-24
dx.dx_210_ccreagentwashpcidata,2018-11-08,2017-05-24
dx.dx_210_ccsampleaspirationotherdata,2018-11-08,2017-05-24
dx.dx_210_ccsampleaspirationpcidata,2018-11-08,2017-05-24
dx.dx_210_ccsampledispenseotherdata,2018-11-08,2017-05-24
dx.dx_210_ccsampledispensepcidata,2018-02-21,2017-08-03
dx.dx_210_ccsamplewashotherdata,2018-11-08,2017-05-24
dx.dx_210_ccsamplewashpcidata,2018-11-08,2017-05-24
dx.dx_210_ccwaterbathrefilldata,2019-02-13,2017-05-24
dx.dx_210_constituentdata,2019-02-13,2018-11-07
dx.dx_210_experimentprocessing,2019-02-12,2017-05-24
dx.dx_210_heaterdutycycledata,2018-08-31,2017-05-24
dx.dx_210_iarm,2018-07-24,2017-05-24
dx.dx_210_icbmotormove,2018-12-31,2017-05-24
dx.dx_210_instrumentactivity,2019-02-13,2017-05-24
dx.dx_210_itvdata,2018-07-25,2017-05-24
dx.dx_210_lld,2018-07-23,2017-05-24
dx.dx_210_lldcc,2019-02-13,2017-05-26
dx.dx_210_messagehistory,2019-03-10,2016-12-12
dx.dx_210_mndhistory,2019-02-13,2017-05-24
dx.dx_210_mndrecorddata,2019-02-13,2017-05-24
dx.dx_210_navigateservicedata,2018-10-16,2018-08-24
dx.dx_210_opticsrawdata,2018-07-25,2017-05-24
dx.dx_210_oshealthmonitoringdata,2018-10-16,2018-08-16
dx.dx_210_pmevent,2018-07-24,2017-05-24
dx.dx_210_pmrawdata,2018-07-25,2017-05-24
dx.dx_210_reagentoperation,2018-10-24,2017-05-24
dx.dx_210_scripting,2019-02-13,2017-05-24
dx.dx_210_teknicmotor,2018-10-24,2017-05-24
dx.dx_210_temperaturedata,2018-10-16,2017-05-24
dx.dx_210_vacuumpressuredata,2018-07-25,2017-05-24
dx.dx_210_wambulkdata,2018-04-20,2017-09-11
dx.dx_210_wamdata,2017-09-30,2017-05-24
dx.dx_205_messagehistory,2019-03-10,2016-12-04
dx.dx_205_pmevent,2019-03-10,2017-05-24
dx.dx_205_result,2019-03-10,2017-05-24
dx.dx_210_result,2019-03-10,2017-05-24
