"icq_cc.tbls","results"
ICQ_CCWATERBATHREFILL,list(MIN_DATE = "2019-04-01 00:04:53.3", MAX_DATE = "2019-04-30 23:59:40.417", CNT_MODSS = 721)
ICQ_CCWASHPM,list(MIN_DATE = "2019-04-01 00:00:00", MAX_DATE = "2019-04-30 23:59:59.973", CNT_MODSS = 714)
ICQ_CCSAMPLEWASHPCI,list(MIN_DATE = "2019-04-01 00:00:01.51", MAX_DATE = "2019-04-30 23:59:57.647", CNT_MODSS = 21)
ICQ_CCSAMPLEWASHOTHER,list(MIN_DATE = "2019-04-01 00:00:01.51", MAX_DATE = "2019-04-30 23:59:57.647", CNT_MODSS = 21)
ICQ_CCSAMPLEDISPCI,list(MIN_DATE = "2019-04-01 00:00:03.257", MAX_DATE = "2019-04-30 23:59:59.787", CNT_MODSS = 18)
ICQ_CCSAMPLEDISOTHER,list(MIN_DATE = "2019-04-01 00:00:03.257", MAX_DATE = "2019-04-30 23:59:59.787", CNT_MODSS = 19)
ICQ_CCSAMPLEASPPCI,list(MIN_DATE = "2019-04-01 00:00:02.29", MAX_DATE = "2019-04-30 23:59:59.427", CNT_MODSS = 16)
ICQ_CCSAMPLEASPOTHER,list(MIN_DATE = "2019-04-01 00:00:02.29", MAX_DATE = "2019-04-30 23:59:59.427", CNT_MODSS = 16)
ICQ_CCREAGTCARSLTEKNICMTR,list(MIN_DATE = "2019-04-01 00:00:00.643", MAX_DATE = "2019-04-30 23:59:46.027", CNT_MODSS = 745)
ICQ_CCREAGTCARSLCOOLRTEMP,list(MIN_DATE = "2019-04-01 00:00:00.643", MAX_DATE = "2019-04-30 23:59:46.043", CNT_MODSS = 745)
ICQ_CCREAGENTWASHPCI,list(MIN_DATE = "2019-04-01 00:00:00", MAX_DATE = "2019-04-30 23:59:59.967", CNT_MODSS = 24)
ICQ_CCREAGENTWASHOTHER,list(MIN_DATE = "2019-04-01 00:00:00", MAX_DATE = "2019-04-30 23:59:59.967", CNT_MODSS = 24)
ICQ_CCREAGENTDISPCI,list(MIN_DATE = "2019-04-01 00:00:02.247", MAX_DATE = "2019-04-30 23:59:59.83", CNT_MODSS = 17)
ICQ_CCREAGENTDISOTHER,list(MIN_DATE = "2019-04-01 00:00:02.247", MAX_DATE = "2019-04-30 23:59:59.83", CNT_MODSS = 17)
ICQ_CCREAGENTASPPCI,list(MIN_DATE = "2019-04-01 00:00:00.863", MAX_DATE = "2019-04-30 23:59:59.393", CNT_MODSS = 19)
ICQ_CCREAGENTASPOTHER,list(MIN_DATE = "2019-04-01 00:00:00.863", MAX_DATE = "2019-04-30 23:59:59.393", CNT_MODSS = 19)
ICQ_CCPIPETTORPMRAWREADS,NULL
ICQ_CCPIPETTORPMRAWDATA,list(MIN_DATE = "2019-04-01 00:00:00.233", MAX_DATE = "2019-04-30 23:59:59.67", CNT_MODSS = 20)
ICQ_CCPHOTODATA,list(MIN_DATE = "2019-04-01 00:00:00.387", MAX_DATE = "2019-04-30 23:59:59.95", CNT_MODSS = 712)
ICQ_CCOPTICSADJTRIGSENSOR,list(MIN_DATE = "2019-04-01 00:00:21.917", MAX_DATE = "2019-04-30 23:57:50.11", CNT_MODSS = 720)
ICQ_CCLAMPMONITORDATA,list(MIN_DATE = "2019-04-01 00:00:00.98", MAX_DATE = "2019-04-30 23:59:59.937", CNT_MODSS = 704)
ICQ_CCDISPENSEPM,list(MIN_DATE = "2019-04-01 00:00:01", MAX_DATE = "2019-04-30 23:59:59.837", CNT_MODSS = 703)
ICQ_CCCUVETTEWASHWATERVOL,list(MIN_DATE = "2019-04-01 00:41:18.55", MAX_DATE = "2019-04-30 23:40:55.073", CNT_MODSS = 738)
ICQ_CCBULKSOLUTIONMON,list(MIN_DATE = "2019-04-01 00:02:21.317", MAX_DATE = "2019-04-30 23:44:48.15", CNT_MODSS = 635)
ICQ_CCBULKSOLUTIONCONSUMED,list(MIN_DATE = "2019-04-01 00:00:00", MAX_DATE = "2019-04-30 23:59:59.987", CNT_MODSS = 749)
ICQ_CCASSAYACTIVITY,list(MIN_DATE = "2019-04-01 00:00:00.467", MAX_DATE = "2019-04-30 23:59:59.997", CNT_MODSS = 743)
ICQ_CCASPIRATIONPM,list(MIN_DATE = "2019-04-01 00:00:00.913", MAX_DATE = "2019-04-30 23:59:59.44", CNT_MODSS = 704)
