"PRODUCTLINEREF","DEVICEID","SYSTEMSN","SN","NODETYPE","ERRORCODE","MAX_COMPL_DATE","MIN_COMPL_DATE"
"840",137800,"ACP021","ACP021CCM01","CM","0665","2019-08-22 08:13:20.0","2019-08-22 00:00:00.0"
"840",129435,"ACP007","ACP007i2s01","ISR","501E","2019-08-22 08:11:43.0","2019-08-22 00:00:00.0"
"840",134283,"ACP015","ACP015I2S02","ISR","501E","2019-08-21 15:50:02.0","2019-08-21 00:00:00.0"
"840",134283,"ACP015","ACP015I2S03","ISR","501E","2019-08-21 11:29:25.0","2019-08-21 00:00:00.0"
"840",134283,"ACP015","ACP015I2S05","ISR","501E","2019-08-21 16:03:23.0","2019-08-21 00:00:00.0"
"840",131993,"ACP027","ACP027I2S01","ISR","501E","2019-08-21 17:51:19.0","2019-08-21 00:00:00.0"
"840",138220,"ACP039","ACP039i2s05","ISR","501E","2019-08-21 10:29:39.0","2019-08-21 00:00:00.0"
"840",173262,"ACP077","ACP077I2S01","ISR","501E","2019-08-21 03:01:27.0","2019-08-20 00:00:00.0"
"840",173262,"ACP077","ACP077I2S09","ISR","501E","2019-08-21 23:47:37.0","2019-08-21 00:00:00.0"
"840",210386,"ACP111","ACP111i2S04","ISR","501E","2019-08-21 08:02:12.0","2019-08-21 00:00:00.0"
"840",193897,"ACP125","ACP125I2S03","ISR","501E","2019-08-21 12:47:27.0","2019-08-21 00:00:00.0"
"840",209589,"ACP175","ACP175i2S02","ISR","501E","2019-08-22 11:31:08.0","2019-08-22 00:00:00.0"
"840",175038,"ACP023","ACP023i2S02","ISR","501F","2019-08-22 08:42:07.0","2019-08-22 00:00:00.0"
"840",131993,"ACP027","ACP027I2S01","ISR","501F","2019-08-21 17:51:16.0","2019-08-21 00:00:00.0"
"840",138220,"ACP039","ACP039i2s05","ISR","501F","2019-08-21 10:29:00.0","2019-08-21 00:00:00.0"
"840",180236,"ACP083","ACP083I2S09","ISR","501F","2019-08-21 01:56:13.0","2019-08-21 00:00:00.0"
"840",195857,"ACP150","ACP150S05","ISR","501F","2019-08-22 15:39:10.0","2019-08-22 00:00:00.0"
